DTE;BARRIS;BARCELONA;ELRAVAL;ELBARRIGOTIC;LABARCELONETA;SANTPERESANTACATERINAILARIBERA;ELFORTPIENC;LASAGRADAFAMILIA;LADRETADELEIXAMPLE;LANTIGAESQUERRADELEIXAMPLE;LANOVAESQUERRADELEIXAMPLE;SANTANTONI;ELPOBLESECPARCMONTJUIC;LAMARINADELPRATVERMELLZONAFRANCA;LAMARINADEPORT;LAFONTDELAGUATLLA;HOSTAFRANCS;LABORDETA;SANTSBADAL;SANTS;LESCORTS;LAMATERNITATISANTRAMON;PEDRALBES;VALLVIDRERAELTIBIDABOILESPLANES;SARRIA;LESTRESTORRES;SANTGERVASILABONANOVA;SANTGERVASIGALVANY;ELPUTXETIELFARRO;VALLCARCAIELSPENITENTS;ELCOLL;LASALUT;LAVILADEGRACIA;ELCAMPDENGRASSOTIGRACIANOVA;ELBAIXGUINARDO;CANBARO;ELGUINARDO;LAFONTDENFARGUES;ELCARMEL;LATEIXONERA;SANTGENISDELSAGUDELLS;MONTBAU;LAVALLDHEBRON;LACLOTA;HORTA;VILAPICINAILATORRELLOBETA;PORTA;ELTURODELAPEIRA;CANPEGUERA;LAGUINEUETA;CANYELLES;LESROQUETES;VERDUN;LAPROSPERITAT;LATRINITATNOVA;TORREBARO;CIUTATMERIDIANA;VALLBONA;LATRINITATVELLA;BARODEVIVER;ELBONPASTOR;SANTANDREU;LASAGRERA;ELCONGRESIELSINDIANS;NAVAS;ELCAMPDELARPADELCLOT;ELCLOT;ELPARCILALLACUNADELPOBLENOU;LAVILAOLIMPICADELPOBLENOU;ELPOBLENOU;DIAGONALMARIELFRONTMARITIMDELPOBLENOU;ELBESOSIELMARESME;PROVENCALSDELPOBLENOU;SANTMARTIDEPROVENCALS;LAVERNEDAILAPAU;NOCONSTA
6;31. la Vila de Gràcia;3421;95;52;36;62;55;109;160;117;75;75;49;0;10;14;8;20;18;49;36;10;8;11;30;13;25;113;141;54;15;69;1161;176;58;20;41;12;24;9;13;2;7;1;20;13;12;13;0;8;1;2;10;7;7;1;4;1;15;0;11;31;30;5;15;44;13;16;9;25;7;17;4;11;16;0
6;32. el Camp d en Grassot i Gràcia Nova;2003;32;14;11;32;28;176;115;45;43;13;34;0;2;4;11;6;14;21;20;11;0;1;8;10;8;20;43;10;12;36;274;518;74;18;41;5;16;9;3;0;4;0;8;10;6;7;1;11;1;5;1;15;2;0;1;0;4;0;7;18;12;8;12;37;13;13;10;17;7;14;13;6;2;0
7;33. el Baix Guinardó;1600;30;10;12;6;41;127;38;18;35;17;31;1;5;2;2;5;6;16;17;7;7;0;9;4;10;17;16;19;10;34;115;147;333;52;86;8;19;7;1;0;2;0;14;23;11;17;1;6;1;9;11;9;3;0;0;0;3;0;1;19;16;3;12;45;18;9;2;9;3;10;7;9;7;0
7;34. Can Baró;474;6;3;3;4;7;14;8;4;2;9;7;0;1;3;4;5;3;5;7;3;1;0;2;0;2;12;2;6;3;11;28;20;49;117;22;3;24;5;3;0;0;0;5;5;2;0;0;1;1;6;0;3;2;0;2;0;2;0;1;5;3;1;1;8;3;1;0;4;0;1;3;5;1;0
7;35. el Guinardó;2522;35;9;23;26;37;98;35;23;42;22;32;0;12;6;9;1;11;19;27;9;1;2;8;4;13;21;29;21;4;21;79;72;106;32;794;32;46;13;7;3;2;0;59;44;34;29;2;16;2;8;16;12;4;4;17;2;9;0;8;45;48;74;72;122;32;14;7;7;2;10;7;18;11;1
7;36. la Font d en Fargues;377;3;1;3;4;2;13;5;2;7;3;2;0;2;0;3;3;0;3;1;0;0;0;2;1;1;2;5;4;0;1;15;6;5;1;50;52;63;5;1;0;7;0;27;20;5;6;1;0;0;0;0;4;1;0;0;0;0;0;2;3;2;3;1;11;0;2;0;3;0;2;0;1;5;0
7;37. el Carmel;2005;41;8;14;12;11;25;7;14;22;15;29;2;4;3;7;8;2;14;3;1;0;5;1;1;2;16;12;25;56;22;29;15;20;20;48;24;885;118;29;2;10;13;76;37;17;28;1;4;4;16;9;14;14;2;10;0;15;0;4;20;21;10;3;31;26;2;0;4;1;11;11;5;14;0
7;38. la Teixonera;679;16;5;2;4;3;11;4;6;9;3;5;0;1;0;3;2;3;1;6;0;1;0;1;3;8;4;16;23;19;1;13;8;5;2;10;13;88;222;14;6;4;5;25;6;4;11;0;0;0;5;5;9;2;1;3;2;3;0;1;6;2;7;6;4;8;2;0;2;2;7;0;4;2;0
7;39. Sant Genís dels Agudells;409;2;6;1;3;2;2;1;2;2;7;4;0;2;2;5;0;1;9;4;2;1;0;2;0;10;5;12;16;6;1;15;3;5;0;3;0;12;32;116;19;7;3;19;3;4;5;0;3;6;6;7;3;7;0;3;0;1;0;2;5;2;1;1;0;0;0;0;0;0;4;0;2;0;0
7;40. Montbau;351;1;0;1;3;1;1;10;4;4;7;6;0;1;1;0;0;2;4;4;0;0;0;5;3;4;2;3;7;3;1;14;0;23;0;4;2;18;4;15;86;22;0;13;3;5;2;1;6;4;7;0;9;2;1;1;0;0;0;1;5;1;1;2;5;8;2;0;0;1;2;0;2;1;0
